"Variable","Enduse","Units","Measured_Calculated","Description"
"time.UTC.",NA,NA,NA,NA
"SN.1st.2.bytes",NA,NA,NA,NA
"SN.2nd.2.bytes",NA,NA,NA,NA
"SN.3rd.2.bytes",NA,NA,NA,NA
"SN.4th.2.bytes",NA,NA,NA,NA
"SN.5th.2.bytes",NA,NA,NA,NA
"kWh.SERV.LSW..kWh.",NA,NA,NA,NA
"kWh.SERV.MSW..kWh.",NA,NA,NA,NA
"kWh..Aphaselights.LSW..kWh.",NA,NA,NA,NA
"kWh.Aphaselights.MSW..kWh.",NA,NA,NA,NA
"kWh.Bphaselights.1.LSW..kWh.",NA,NA,NA,NA
"kWh.Bphaselights.1.MSW..kWh.",NA,NA,NA,NA
"kW.SERV..kW.",NA,NA,NA,NA
"kW.Aphaselights..kW.",NA,NA,NA,NA
"kW.Bphaselights..kW.",NA,NA,NA,NA
"kVA.SERV..kVA.",NA,NA,NA,NA
"kVA.Aphaselights..kVA.",NA,NA,NA,NA
"kVA.Bphaselights..kVA.",NA,NA,NA,NA
"kVAR.L1..kVAR.",NA,NA,NA,NA
"kVAR.L2..kVAR.",NA,NA,NA,NA
"kVAR.L3..kVAR.",NA,NA,NA,NA
"Volts.L1..Volts.",NA,NA,NA,NA
"Volts.L2..Volts.",NA,NA,NA,NA
"Volts.L3..Volts.",NA,NA,NA,NA
"PF.L1",NA,NA,NA,NA
"PF.L2",NA,NA,NA,NA
"PF.L3",NA,NA,NA,NA
"kWh.SERV1.LSW..kWh.",NA,NA,NA,NA
"kWh.SERV1.MSW..kWh.",NA,NA,NA,NA
"kWh..SERV2.LSW..kWh.",NA,NA,NA,NA
"kWh.SERV2.MSW..kWh.",NA,NA,NA,NA
"kW.SERV1..kW.",NA,NA,NA,NA
"kW.SERV2..kW.",NA,NA,NA,NA
"kVA.SERV1..kVA.",NA,NA,NA,NA
"kVA.SERV2..kVA.",NA,NA,NA,NA
"kWh.HP1.LSW..kWh.",NA,NA,NA,NA
"kWh.HP1.MSW..kWh.",NA,NA,NA,NA
"kWh.HP2.LSW..kWh.",NA,NA,NA,NA
"kWh.HP2.MSW..kWh.",NA,NA,NA,NA
"kWh.Work_Stations3.LSW..kWh.",NA,NA,NA,NA
"kW.HP1..kW.",NA,NA,NA,NA
"kW.HP2..kW.",NA,NA,NA,NA
"kW.Work_Stations3..kW.",NA,NA,NA,NA
"kVA.HP1..kVA.",NA,NA,NA,NA
"kVA.HP2..kVA.",NA,NA,NA,NA
"kVAWork_Stations3..kVA.",NA,NA,NA,NA
"kVAR.HP1..kVAR.",NA,NA,NA,NA
"kVAR.HP2..kVAR.",NA,NA,NA,NA
"kVAR.Work_Stations3..kVAR.",NA,NA,NA,NA
"kWh.HP.LSW..kWh.",NA,NA,NA,NA
"kWh.HP.MSW..kWh.",NA,NA,NA,NA
"kWh.workstnrecep.LSW..kWh.",NA,NA,NA,NA
"kWh.workstnrecep.MSW..kWh.",NA,NA,NA,NA
"kWh.phonealarm.LSW..kWh.",NA,NA,NA,NA
"kWh.phonealarm.MSW..kWh.",NA,NA,NA,NA
"kW.HP..kW.",NA,NA,NA,NA
"kW.workstnrecep..kW.",NA,NA,NA,NA
"kW.phonealarm..kW.",NA,NA,NA,NA
"kVA.HP..kVA.",NA,NA,NA,NA
"kVA.workstnrecep..kVA.",NA,NA,NA,NA
"kVA.phonealarm..kVA.",NA,NA,NA,NA
"kWh.Workstations_PM_CW.LSW..kWh.",NA,NA,NA,NA
"kWh.Workstations_PM_CW.MSW..kWh.",NA,NA,NA,NA
"kWh.Phone_Alarm_Recepts.LSW..kWh.",NA,NA,NA,NA
"kWh.Phone_Alarm_Recepts.MSW..kWh.",NA,NA,NA,NA
"kWh.ServerRack.LSW..kWh.",NA,NA,NA,NA
"kWh.ServerRack.MSW..kWh.",NA,NA,NA,NA
"kW.Workstations_PM_CW..kW.",NA,NA,NA,NA
"kW.Phone_Alarm_Recepts..kW.",NA,NA,NA,NA
"kW.ServerRack..kW.",NA,NA,NA,NA
"kVA.Workstations_PM_CW..kVA.",NA,NA,NA,NA
"kVA.Phone_Alarm_Recepts..kVA.",NA,NA,NA,NA
"kVA.ServerRack..kVA.",NA,NA,NA,NA
"highalarm",NA,NA,NA,NA
"Temperature..Degrees.F.",NA,NA,NA,NA
"Temperature.Ave..Degrees.F.",NA,NA,NA,NA
"Temperature.Min..Degrees.F.",NA,NA,NA,NA
"Temperature.Max..Degrees.F.",NA,NA,NA,NA
"VerisCheapTherm..Degrees.F.",NA,NA,NA,NA
"VerisCheapTherm.Ave..Degrees.F.",NA,NA,NA,NA
"VerisCheapTherm.Min..Degrees.F.",NA,NA,NA,NA
"VerisCheapTherm.Max..Degrees.F.",NA,NA,NA,NA
"VerisCheapRH..RH.",NA,NA,NA,NA
"VerisCheapRH.Ave..RH.",NA,NA,NA,NA
"VerisCheapRH.Min..RH.",NA,NA,NA,NA
"VerisCheapRH.Max..RH.",NA,NA,NA,NA
